,city,latitude,temperature,humidity,cloudiness,max windspeed
125,qaanaaq,77.48,2.32,84,64,7.4
410,suez,29.97,51.51,63,0,11.1
516,rikitea,-23.12,76.89,100,76,14.23
501,victoria,5.28,82.4,69,75,6.93
377,nanortalik,60.14,26.58,100,32,11.1
522,busselton,-33.64,64.92,100,48,17.58
117,ilulissat,69.22,17.6,78,75,4.7
355,ilulissat,69.22,17.6,78,75,4.7
259,albany,42.65,25.3,61,40,5.82
589,ribeira grande,38.52,60.8,77,40,17.22
227,kondinskoye,59.65,9.79,84,64,7.18
279,busselton,-33.64,64.92,100,48,17.58
333,rikitea,-23.12,76.89,100,76,14.23
203,port hedland,-20.31,86.0,70,20,10.29
391,albany,42.65,25.3,61,40,5.82
395,butaritari,3.07,81.16,100,92,25.75
3,puerto ayora,-0.74,82.4,65,20,14.99
404,pasighat,28.06,48.99,91,88,1.92
362,taltal,-25.41,65.41,76,8,2.15
40,tasiilaq,65.61,35.6,80,92,9.17
503,loa janan,-0.58,79.54,88,44,2.82
8,bonavista,48.65,29.1,100,88,46.44
239,necochea,-38.55,65.77,96,8,12.77
151,avera,33.19,58.48,80,90,2.93
128,kodinsk,58.6,-14.29,65,68,2.71
13,albany,42.65,25.3,61,40,5.82
406,carnarvon,-30.97,56.77,66,0,14.56
67,upernavik,72.79,14.25,100,80,30.78
7,salalah,17.01,71.6,73,20,5.82
413,mandalgovi,45.76,-13.48,54,0,10.87
595,kruisfontein,-34.0,64.47,81,68,14.67
339,ushuaia,-54.81,42.8,81,90,11.41
88,jamestown,-33.21,88.86,33,0,10.54
223,albany,42.65,25.3,61,40,5.82
230,albany,42.65,25.3,61,40,5.82
24,pervouralsk,56.9,21.2,92,20,6.71
251,port-gentil,-0.72,79.86,99,64,4.16
581,rikitea,-23.12,76.89,100,76,14.23
346,saint anthony,43.97,10.0,69,90,4.7
308,sao filipe,14.9,75.99,90,80,12.44
124,pierre,44.37,33.98,66,1,13.87
168,vila do maio,15.13,73.4,64,80,13.87
407,punta arenas,-53.16,48.2,70,90,10.29
564,airai,-8.93,76.26,79,76,1.7
342,lac du bonnet,50.25,11.77,85,68,7.96
37,mataura,-46.19,58.62,69,92,23.96
36,butaritari,3.07,81.16,100,92,25.75
323,yarada,17.65,59.0,93,0,2.24
557,road town,18.42,77.0,73,40,16.11
244,tautira,-17.73,87.8,66,40,10.29
396,port said,25.34,38.64,66,0,3.15
92,faanui,-16.48,84.27,100,48,9.31
398,mehamn,71.03,24.19,84,68,10.54
111,rikitea,-23.12,76.89,100,76,14.23
172,rikitea,-23.12,76.89,100,76,14.23
281,cape town,-33.93,62.6,67,0,2.24
408,airai,-8.93,76.26,79,76,1.7
238,kavaratti,10.57,81.75,100,0,5.39
403,misratah,32.38,54.3,100,24,19.26
253,pitimbu,-7.47,77.0,83,20,6.93
450,jasper,33.83,49.01,106,92,3.83
366,rikitea,-23.12,76.89,100,76,14.23
446,esmeraldas,-19.76,72.19,83,0,4.7
381,bluff,-23.58,84.49,48,0,10.42
464,orange,-33.28,81.3,66,80,5.17
401,eufaula,31.89,65.97,84,90,4.27
195,saint george,39.45,38.21,64,75,6.93
265,jamestown,-33.21,88.86,33,0,10.54
572,puerto ayora,-0.74,82.4,65,20,14.99
524,vao,59.1,25.14,81,92,17.81
569,shelburne,44.08,25.34,92,90,4.7
491,punta arenas,-53.16,48.2,70,90,10.29
41,qaanaaq,77.48,2.32,84,64,7.4
169,kimbe,-5.56,77.61,100,92,9.31
565,baiyin,36.55,6.8,84,88,4.47
418,vila franca do campo,37.72,60.8,100,75,12.75
351,arraial do cabo,-22.97,75.9,98,36,1.81
132,husavik,50.56,6.42,70,20,9.31
499,aklavik,68.22,10.71,92,90,9.17
102,mataura,-46.19,58.62,69,92,23.96
52,thompson,55.74,3.2,84,90,2.24
53,mount gambier,-37.83,77.0,36,0,8.05
93,the valley,18.22,77.0,69,40,6.93
192,cherskiy,68.75,-17.89,77,56,6.29
208,longyearbyen,78.22,17.6,67,75,8.05
201,ust-tsilma,65.44,24.37,83,88,5.95
421,nemuro,43.32,26.6,58,40,11.41
325,punta arenas,-53.16,48.2,70,90,10.29
34,tiksi,71.64,-3.85,64,0,17.92
510,saint-pierre,48.95,33.13,89,0,5.82
555,virginia beach,36.85,48.54,79,90,8.05
47,makakilo city,21.35,80.73,46,75,8.05
544,bluff,-23.58,84.49,48,0,10.42
188,luwuk,-0.95,81.93,90,76,2.71
419,bredasdorp,-34.53,66.2,72,76,17.22
449,kewanee,41.25,27.54,80,1,4.7
167,itoman,26.12,61.9,72,75,12.75
55,albany,42.65,25.3,61,40,5.82
385,faanui,-16.48,84.27,100,48,9.31
288,mount gambier,-37.83,77.0,36,0,8.05
212,bathsheba,13.22,77.0,78,75,17.22
566,hamilton,32.3,68.0,77,90,9.17
54,new norfolk,-42.78,71.6,53,20,10.29
531,katangli,51.71,17.26,90,68,22.95
463,mustasaari,63.17,15.8,92,88,3.36
466,vestmannaeyjar,63.44,45.75,95,92,26.08
335,yellowknife,62.45,15.8,92,90,11.41
423,angoche,-16.23,83.64,100,8,6.4
447,castro,-42.48,53.6,58,64,8.05
35,mount isa,-20.73,100.4,16,0,9.17
526,kodiak,39.95,29.62,39,1,8.05
234,cherskiy,68.75,-17.89,77,56,6.29
568,saskylakh,71.97,-3.08,62,8,11.21
459,hasaki,35.73,37.65,48,20,8.05
42,tura,25.52,46.11,77,0,3.83
372,butaritari,3.07,81.16,100,92,25.75
271,kavieng,-2.57,84.72,100,44,15.9
483,hilo,19.71,78.98,60,20,8.05
152,rikitea,-23.12,76.89,100,76,14.23
338,jamestown,-33.21,88.86,33,0,10.54
329,albany,42.65,25.3,61,40,5.82
432,mataura,-46.19,58.62,69,92,23.96
523,punta arenas,-53.16,48.2,70,90,10.29
487,usinsk,66.0,22.57,90,80,11.32
277,busselton,-33.64,64.92,100,48,17.58
16,ciudad guayana,8.32,82.24,62,32,9.31
240,aljezur,37.31,53.62,100,0,10.54
539,rikitea,-23.12,76.89,100,76,14.23
258,vozdvizhenka,56.12,21.2,92,20,6.71
70,tamandare,-8.28,78.51,86,20,2.93
2,dikson,73.51,13.08,95,64,23.73
340,rikitea,-23.12,76.89,100,76,14.23
588,poum,41.28,23.07,92,88,2.15
482,lasa,34.92,48.81,87,90,5.82
405,souillac,45.6,32.79,80,0,5.82
455,jamestown,-33.21,88.86,33,0,10.54
44,vila franca do campo,37.72,60.8,100,75,12.75
33,bumba,2.18,71.4,97,48,3.38
156,grindavik,63.84,47.48,100,90,33.33
181,nevers,46.99,33.8,88,75,6.93
478,busselton,-33.64,64.92,100,48,17.58
241,rikitea,-23.12,76.89,100,76,14.23
435,kodiak,39.95,29.62,39,1,8.05
353,katsuura,33.93,43.61,48,20,6.93
321,dunedin,-45.87,71.17,49,8,14.9
157,qaanaaq,77.48,2.32,84,64,7.4
266,bambous virieux,-20.34,77.0,88,20,5.82
48,dunedin,-45.87,71.17,49,8,14.9
299,pocone,-16.26,81.07,82,0,4.83
23,tigre,-34.42,75.79,88,0,8.05
49,neuquen,-38.95,73.4,18,0,4.7
322,half moon bay,37.46,53.56,49,1,4.7
460,tuktoyaktuk,69.44,8.6,84,90,8.05
303,meulaboh,4.14,78.46,100,32,4.38
104,east london,-33.02,67.62,100,92,12.88
9,saskylakh,71.97,-3.08,62,8,11.21
583,pisco,-13.71,71.6,30,20,20.8
370,lincoln,53.23,37.4,93,90,6.93
546,cape town,-33.93,62.6,67,0,2.24
17,bubaque,11.28,79.86,98,0,3.6
163,rikitea,-23.12,76.89,100,76,14.23
376,punta arenas,-53.16,48.2,70,90,10.29
314,hithadhoo,-0.6,80.67,100,64,8.3
81,hobart,-42.88,71.6,53,20,10.29
25,upernavik,72.79,14.25,100,80,30.78
461,bluff,-23.58,84.49,48,0,10.42
10,ushuaia,-54.81,42.8,81,90,11.41
504,batangafo,7.3,69.06,30,0,10.65
64,tuatapere,-46.13,55.74,99,76,22.06
592,mount gambier,-37.83,77.0,36,0,8.05
39,urengoy,65.96,14.02,86,88,13.78
428,lebu,8.96,51.8,62,20,2.24
312,komsomolskiy,67.55,18.3,84,76,11.65
161,jamestown,-33.21,88.86,33,0,10.54
84,kurilsk,45.23,27.93,100,64,20.15
130,madison,43.07,23.63,74,90,5.82
440,albany,42.65,25.3,61,40,5.82
295,saint-philippe,45.36,9.3,78,40,3.04
184,arraial do cabo,-22.97,75.9,98,36,1.81
383,tazovskiy,67.47,9.97,82,64,7.63
570,castro,-42.48,53.6,58,64,8.05
359,makinsk,52.63,-2.86,73,44,4.16
380,tasiilaq,65.61,35.6,80,92,9.17
438,flinders,-34.58,78.8,69,90,2.24
378,bethel,60.79,8.42,86,90,4.7
95,ribeira grande,38.52,60.8,77,40,17.22
79,salinopolis,-0.61,81.03,97,88,15.46
211,san patricio,-26.98,88.68,61,32,5.61
458,aqtobe,50.28,12.2,85,90,8.95
454,provideniya,64.42,-5.81,70,0,2.24
530,hermanus,-34.42,59.16,74,0,9.75
433,hami,42.84,-4.93,51,44,3.27
280,teahupoo,-17.83,87.8,66,40,10.29
199,lebu,8.96,51.8,62,20,2.24
220,san patricio,-26.98,88.68,61,32,5.61
374,butaritari,3.07,81.16,100,92,25.75
473,hobart,-42.88,71.6,53,20,10.29
349,karratha,-20.74,81.34,75,0,3.71
382,mercedes,-33.25,75.49,97,44,2.93
412,rikitea,-23.12,76.89,100,76,14.23
364,inhambane,-23.87,76.8,100,80,6.62
127,kodiak,39.95,29.62,39,1,8.05
147,cape town,-33.93,62.6,67,0,2.24
593,ushuaia,-54.81,42.8,81,90,11.41
246,beringovskiy,63.05,-14.29,100,32,7.4
229,koutiala,12.39,61.36,54,0,3.71
207,lubango,-14.92,62.44,87,48,1.92
472,punta arenas,-53.16,48.2,70,90,10.29
197,new norfolk,-42.78,71.6,53,20,10.29
552,butaritari,3.07,81.16,100,92,25.75
489,berlevag,70.86,25.95,100,68,13.11
477,hermanus,-34.42,59.16,74,0,9.75
352,saint-philippe,45.36,9.3,78,40,3.04
562,coihaique,-45.58,47.93,53,90,6.93
178,punta arenas,-53.16,48.2,70,90,10.29
57,jamestown,-33.21,88.86,33,0,10.54
518,norman wells,65.28,23.0,92,90,19.46
417,huarmey,-10.07,69.69,72,8,4.38
278,tuktoyaktuk,69.44,8.6,84,90,8.05
140,smoky lake,54.11,33.06,87,8,10.98
519,sioux lookout,50.1,5.9,84,90,5.82
430,roebourne,-20.77,81.34,75,0,3.71
494,bluff,-23.58,84.49,48,0,10.42
363,yellowknife,62.45,15.8,92,90,11.41
217,cabo san lucas,22.89,65.26,68,90,6.93
286,blackfoot,43.19,10.04,79,1,2.59
532,busselton,-33.64,64.92,100,48,17.58
331,kavaratti,10.57,81.75,100,0,5.39
490,busselton,-33.64,64.92,100,48,17.58
276,collie,-33.36,62.62,73,48,12.21
204,busselton,-33.64,64.92,100,48,17.58
445,najran,17.54,59.0,44,0,1.36
579,ostrovnoy,68.05,13.17,81,36,11.54
415,dikson,73.51,13.08,95,64,23.73
537,port alfred,-33.59,66.04,83,92,11.88
474,bathsheba,13.22,77.0,78,75,17.22
311,carnarvon,-30.97,56.77,66,0,14.56
543,new norfolk,-42.78,71.6,53,20,10.29
448,provideniya,64.42,-5.81,70,0,2.24
226,provideniya,64.42,-5.81,70,0,2.24
62,alofi,-19.06,82.4,88,92,8.05
306,turayf,31.68,42.8,87,0,8.86
187,puerto ayora,-0.74,82.4,65,20,14.99
159,katra,32.99,33.15,84,0,3.38
137,boundiali,9.53,65.19,55,0,3.15
45,new norfolk,-42.78,71.6,53,20,10.29
216,georgetown,6.8,76.84,83,75,9.17
536,mapiripan,2.89,88.5,40,100,7.52
191,sitka,37.17,28.02,68,0,1.36
475,ushuaia,-54.81,42.8,81,90,11.41
27,rikitea,-23.12,76.89,100,76,14.23
324,butaritari,3.07,81.16,100,92,25.75
109,banda aceh,5.56,72.79,98,44,2.59
69,ambon,47.55,33.91,92,0,5.82
492,norman wells,65.28,23.0,92,90,19.46
550,dikson,73.51,13.08,95,64,23.73
287,tiksi,71.64,-3.85,64,0,17.92
330,buala,-8.15,82.96,94,64,3.71
270,ribeira grande,38.52,60.8,77,40,17.22
468,coihaique,-45.58,47.93,53,90,6.93
133,bredasdorp,-34.53,66.2,72,76,17.22
481,saint-philippe,45.36,9.3,78,40,3.04
268,saint-philippe,45.36,9.3,78,40,3.04
368,mabaruma,8.2,78.06,79,8,8.3
369,fortuna,38.18,45.5,75,0,5.82
213,barda,56.93,19.74,84,88,7.52
273,butaritari,3.07,81.16,100,92,25.75
174,cherskiy,68.75,-17.89,77,56,6.29
332,thompson,55.74,3.2,84,90,2.24
575,east london,-33.02,67.62,100,92,12.88
252,klaksvik,62.23,44.6,93,44,17.22
563,valparaiso,41.47,30.11,75,90,13.87
298,punta arenas,-53.16,48.2,70,90,10.29
551,nizhneudinsk,54.91,-5.06,67,68,2.71
409,jamestown,-33.21,88.86,33,0,10.54
387,mataura,-46.19,58.62,69,92,23.96
486,saint-philippe,45.36,9.3,78,40,3.04
535,ushuaia,-54.81,42.8,81,90,11.41
594,touros,-5.2,80.6,78,0,6.93
304,bowen,-20.01,82.4,58,0,17.22
236,porbandar,21.64,62.49,74,0,8.19
162,vaini,15.34,51.8,81,8,3.94
480,georgetown,6.8,76.84,83,75,9.17
402,port moresby,-9.47,73.4,100,90,11.41
515,cairns,-16.92,86.0,58,40,4.7
414,rikitea,-23.12,76.89,100,76,14.23
186,norman wells,65.28,23.0,92,90,19.46
456,arraial do cabo,-22.97,75.9,98,36,1.81
529,ponta do sol,-20.63,71.44,89,44,3.15
471,cape town,-33.93,62.6,67,0,2.24
97,butaritari,3.07,81.16,100,92,25.75
248,cabo san lucas,22.89,65.26,68,90,6.93
559,rikitea,-23.12,76.89,100,76,14.23
267,atuona,-9.8,81.57,99,68,15.68
294,atuona,-9.8,81.57,99,68,15.68
60,kirakira,-10.46,80.17,100,56,1.03
269,ushuaia,-54.81,42.8,81,90,11.41
233,cherskiy,68.75,-17.89,77,56,6.29
392,jamestown,-33.21,88.86,33,0,10.54
310,sur,22.57,70.27,100,0,6.4
155,yellowknife,62.45,15.8,92,90,11.41
134,bredasdorp,-34.53,66.2,72,76,17.22
114,nikolskoye,59.7,28.4,86,90,13.42
495,hobart,-42.88,71.6,53,20,10.29
345,ushuaia,-54.81,42.8,81,90,11.41
498,souillac,45.6,32.79,80,0,5.82
74,saint george,39.45,38.21,64,75,6.93
488,bluff,-23.58,84.49,48,0,10.42
107,najran,17.54,59.0,44,0,1.36
176,albany,42.65,25.3,61,40,5.82
43,port-gentil,-0.72,79.86,99,64,4.16
584,pisco,-13.71,71.6,30,20,20.8
264,yellowknife,62.45,15.8,92,90,11.41
